x,y,z
529,737,936
76,688,327
726,772,943
442,724,839
435,30,98
667,649,184
564,930,281
508,996,630
375,410,575
528,802,77
186,963,567
422,510,569
867,544,57
567,164,537
423,136,674
603,33,485
341,239,656
962,224,90
861,248,580
20,295,146
772,656,260
569,189,837
791,658,467
155,371,638
779,16,261
196,861,9
108,796,707
911,470,497
716,834,877
635,517,548
927,467,200
498,703,722
881,677,556
471,203,113
780,400,152
868,25,564
146,542,448
377,459,523
46,109,643
818,364,668
611,701,884
876,454,321
452,701,762
67,759,178
241,259,619
178,593,953
78,585,508
134,716,380
559,875,224
493,292,702
409,40,480
921,613,738
848,422,274
499,491,479
372,850,794
685,311,736
947,187,809
280,360,812
859,19,708
291,680,152
967,388,229
534,674,364
425,851,802
782,876,698
798,884,405
395,736,351
374,459,467
432,798,503
905,745,252
262,753,255
378,30,32
420,348,371
171,260,750
913,71,757
7,137,666
234,502,201
194,943,170
829,553,907
761,681,484
398,468,183
185,807,599
449,67,463
389,903,46
194,282,980
476,634,16
523,229,614
127,409,73
802,2,818
425,529,211
91,72,640
318,569,918
108,867,315
916,698,106
398,325,325
724,129,547
678,896,871
968,604,155
402,43,794
181,907,929
573,573,283
730,151,935
143,64,866
757,341,696
574,257,816
216,756,951
753,414,696
810,729,996
714,584,331
4,90,627
919,743,275
977,504,933
255,224,216
869,93,928
625,163,253
141,943,443
351,568,896
440,711,861
850,838,121
996,681,994
42,288,990
10,564,763
617,833,673
713,23,970
556,790,523
491,951,194
477,691,654
712,22,681
580,872,236
805,757,672
870,650,594
12,137,559
993,404,746
266,358,2
245,211,345
298,663,696
826,804,26
667,728,86
262,682,328
125,298,863
89,728,680
363,190,361
642,823,866
146,892,821
265,979,445
711,224,706
980,288,522
142,847,390
354,921,877
525,100,47
412,203,517
146,460,596
758,428,113
256,969,767
160,577,584
560,698,938
927,215,130
520,774,853
355,211,504
324,886,170
250,935,236
410,49,838
781,231,929
782,438,222
179,295,610
533,662,351
309,286,417
341,917,39
87,405,718
220,884,507
857,141,591
449,80,52
310,670,87
336,417,621
573,573,283
554,372,871
820,21,745
791,781,793
769,292,263
164,943,875
348,280,975
464,102,856
831,684,900
699,87,893
490,531,471
80,764,864
301,621,662
59,512,350
276,316,778
438,126,384
186,49,96
975,303,857
367,464,925
556,344,677
645,428,884
850,585,248
942,276,336
155,803,28
239,836,128
74,277,647
524,435,184
859,411,639
18,582,819
947,852,198
254,209,913
399,882,6
383,608,332
272,675,657
576,551,117
751,829,408
425,616,432
858,540,414
274,298,453
655,438,413
258,156,12
446,246,671
224,182,21
80,256,990
373,607,231
835,928,66
671,619,695
788,674,725
938,935,53
926,560,154
455,997,118
603,749,907
181,280,892
412,139,904
484,175,20
729,18,931
53,677,464
132,812,124
287,379,660
66,219,174
116,279,347
800,528,826
597,198,859
757,451,662
755,745,705
499,538,50
924,295,663
878,240,82
513,26,108
890,60,531
805,998,964
788,422,657
825,745,806
930,391,273
822,643,477
854,119,791
590,297,98
254,396,391
513,976,539
585,350,806
356,348,469
15,574,424
908,346,719
651,743,860
551,822,756
523,846,913
323,359,936
530,630,754
272,96,589
969,533,976
314,369,444
867,291,12
734,472,762
944,366,666
501,624,458
461,132,924
106,397,240
259,72,324
934,336,59
961,299,605
547,266,479
503,275,305
851,973,297
571,575,337
472,170,507
357,789,92
334,594,285
605,211,953
839,988,461
870,760,18
2,32,426
374,632,729
255,186,584
904,346,973
80,7,855
894,652,299
416,989,494
588,758,185
673,63,700
53,721,155
428,363,539
619,888,688
791,835,967
466,16,629
374,920,782
580,819,683
18,777,660
323,101,502
152,648,56
336,129,890
277,55,721
471,6,591
575,831,190
400,741,267
634,602,644
54,576,509
375,480,661
445,795,563
550,458,647
471,6,591
395,146,44
396,962,320
656,652,248
963,620,892
237,530,799
995,891,712
299,229,331
321,913,100
37,191,996
517,879,585
711,132,548
678,812,831
812,430,704
633,932,928
339,921,760
530,953,369
462,579,423
577,577,392
89,909,153
678,913,110
484,358,330
941,692,249
710,857,750
702,414,59
176,79,299
614,655,516
806,661,939
864,210,9
776,369,767
305,110,303
901,6,75
897,958,331
36,6,318
600,289,652
125,499,446
79,375,208
77,452,983
943,221,534
389,668,569
282,929,361
505,80,736
43,100,80
301,859,56
105,148,145
344,785,807
42,84,300
808,650,753
879,974,855
677,897,160
745,651,476
697,380,398
338,865,765
983,984,14
789,323,416
687,356,870
737,884,998
464,812,70
572,650,128
474,172,447
774,183,238
895,545,261
179,870,577
711,423,832
372,854,355
207,203,71
132,701,22
290,958,180
565,203,937
548,948,636
797,12,108
581,555,441
453,84,778
710,681,485
547,98,648
319,369,523
902,538,258
570,151,425
645,831,173
534,615,462
382,596,467
297,223,493
115,57,355
877,709,251
577,915,78
186,713,295
169,449,428
499,514,540
624,858,681
854,812,97
866,153,926
786,414,724
791,956,574
831,333,255
503,3,214
321,195,957
829,328,79
925,385,660
999,761,609
631,128,789
394,470,277
628,289,641
303,722,934
898,267,140
27,597,963
586,891,455
588,38,385
427,640,337
127,6,38
864,51,976
804,492,526
72,300,820
690,934,857
488,516,408
457,117,390
369,901,402
656,652,248
546,11,867
683,725,235
773,204,480
364,961,66
340,350,735
954,680,386
866,770,525
842,246,545
52,861,162
908,290,808
404,230,540
560,133,285
944,712,314
201,809,425
44,789,386
683,554,901
780,121,504
102,815,717
681,935,26
262,620,595
88,886,610
720,91,830
448,283,157
148,679,344
517,586,170
383,852,344
544,414,641
189,700,31
643,107,881
428,768,693
312,4,72
