x,y,z
728,597,339
783,527,814
701,533,424
892,298,36
382,539,778
627,518,648
798,125,975
66,598,122
642,849,505
227,550,429
130,184,932
330,932,930
733,400,490
252,272,705
942,734,483
279,418,691
643,277,5
477,548,772
141,573,238
21,544,662
595,421,489
174,687,783
611,528,247
393,199,916
576,892,954
376,687,121
662,393,63
654,186,287
286,525,825
546,30,439
91,476,660
649,860,218
442,493,507
505,501,881
832,586,741
897,994,380
378,470,667
705,316,227
985,145,928
548,529,861
557,491,265
639,296,210
398,513,679
41,222,526
364,798,878
1,55,214
375,349,349
170,494,464
27,897,996
763,970,273
273,558,547
47,377,670
711,460,173
973,184,890
299,566,269
956,226,986
125,516,324
713,917,655
882,480,907
828,522,872
422,814,339
431,451,329
948,263,733
277,206,991
531,690,661
277,53,713
708,791,471
28,864,79
422,565,734
281,980,284
105,977,749
870,13,522
888,482,479
705,169,212
239,27,579
721,914,121
834,139,566
368,551,202
686,653,949
651,366,22
278,912,436
58,60,216
784,292,365
410,862,543
584,666,842
888,410,183
13,525,390
474,426,215
669,910,157
588,420,468
530,875,635
665,487,878
902,925,133
65,450,746
954,493,81
840,448,971
718,155,89
658,811,248
2,246,201
614,395,128
38,700,921
789,571,877
391,914,766
782,808,966
182,691,702
592,942,200
263,916,502
434,109,775
929,631,342
208,303,124
318,62,440
913,640,829
533,55,984
146,287,595
557,107,340
505,989,67
113,553,488
8,472,712
177,938,305
440,985,220
562,713,459
771,197,770
769,293,964
683,974,757
93,893,270
870,185,939
849,805,806
899,677,488
752,879,636
995,715,207
455,870,647
403,483,651
275,907,887
421,176,429
329,385,419
580,967,243
377,976,887
788,836,860
711,770,14
818,651,718
631,395,88
322,520,152
441,602,743
15,451,271
173,363,867
256,353,648
557,128,408
676,370,551
363,845,154
367,120,786
663,471,220
426,952,239
206,464,950
494,757,772
71,440,878
347,827,478
91,826,998
676,19,171
394,885,568
762,112,257
802,279,73
919,363,314
888,409,275
49,688,316
745,672,251
566,953,39
719,572,551
756,896,205
464,333,798
584,639,821
456,441,524
937,590,165
23,640,391
870,83,854
319,864,827
963,199,106
973,803,895
